Platform,Title,Level,Price,Language,Rating
Coursera,Machine Learning,Beginner,49.0,English,5.0
Coursera,Indigenous Canada,Intermediate,9.99,English,5.0
Coursera,The Science of Well-Being,All Levels,0.0,English,5.0
Coursera,Technical Support Fundamentals,Intermediate,9.99,English,4.0
Coursera,Become a CBRS Certified Professional Installer by Google,Advanced,39.99,English,4.0
Coursera,Financial Markets,Intermediate,39.99,English,4.0
Coursera,Introduction to Psychology,Intermediate,0.0,English,5.0
Coursera,Programming for Everybody (Getting Started with Python),Intermediate,59.0,English,5.0
Coursera,The Bits and Bytes of Computer Networking,Beginner,39.99,English,4.0
Coursera,AI For Everyone,All Levels,49.0,English,5.0
Coursera,Crash Course on Python,All Levels,9.99,English,4.0
Coursera,Psychological First Aid,Advanced,0.0,English,5.0
Coursera,Neural Networks and Deep Learning,Intermediate,59.0,English,5.0
Coursera,What is Data Science?,Beginner,0.0,English,4.0
Coursera,Successful Negotiation: Essential Strategies and Skills,Advanced,9.99,English,5.0
Coursera,Fundamentals of Project Planning and Management,All Levels,0.0,English,5.0
Coursera,Project Launch,All Levels,49.0,English,3.0
Coursera,"Brand Management: Aligning Business, Brand and Behaviour",Intermediate,39.99,English,5.0
Coursera,Writing in the Sciences,Intermediate,0.0,English,5.0
Coursera,Stanford Introduction to Food and Health,Advanced,59.0,English,5.0
Coursera,"HTML, CSS, and Javascript for Web Developers",Intermediate,0.0,English,5.0
Coursera,Excel Skills for Business: Essentials,All Levels,9.99,English,5.0
Coursera,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Advanced,0.0,English,5.0
Coursera,"Everyday Excel, Part 1",Beginner,9.99,English,2.0
Coursera,Learning How to Learn: Powerful mental tools to help you master tough subjects,Beginner,9.99,English,5.0
Coursera,Google Cloud Platform Fundamentals: Core Infrastructure,All Levels,9.99,English,4.0
Coursera,Viral Marketing and How to Craft Contagious Content,Intermediate,0.0,English,5.0
Coursera,Python Data Structures,Intermediate,9.99,English,5.0
Coursera,Private Equity and Venture Capital,Beginner,0.0,English,5.0
Coursera,First Step Korean,Beginner,0.0,English,5.0
Coursera,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",Advanced,39.99,English,5.0
Coursera,Operating Systems and You: Becoming a Power User,Intermediate,9.99,English,4.0
Coursera,Tools for Data Science,Advanced,0.0,English,3.0
Coursera,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",Beginner,59.0,English,4.0
Coursera,Diversity and inclusion in the workplace,Beginner,9.99,English,4.0
Coursera,Design and Interpretation of Clinical Trials,Advanced,9.99,English,5.0
Coursera,Visual Elements of User Interface Design,Beginner,0.0,English,5.0
Coursera,Management of Fashion and Luxury Companies,Beginner,39.99,English,5.0
Coursera,Primeros Auxilios Psicológicos (PAP),Beginner,49.0,Spanish,5.0
Coursera,Social Psychology,Advanced,0.0,English,5.0
Coursera,Initiating and Planning Projects,Beginner,39.99,English,5.0
Coursera,Computational Thinking for Problem Solving,All Levels,39.99,English,4.0
Coursera,Agile with Atlassian Jira,Intermediate,0.0,English,5.0
Coursera,Fundamentals of Graphic Design,Beginner,0.0,English,5.0
Coursera,Introduction to User Experience Design,Intermediate,0.0,English,5.0
Coursera,Introduction to Marketing,Advanced,59.0,English,5.0
Coursera,Python for Data Science and AI,Advanced,9.99,English,4.0
Coursera,Marketing Analytics,Intermediate,9.99,English,5.0
Coursera,Natural Language Processing with Classification and Vector Spaces,Beginner,9.99,English,5.0
Coursera,Fundamentals of Quantitative Modeling,Beginner,0.0,English,4.0
Coursera,Mathematics for Machine Learning: Linear Algebra,All Levels,9.99,English,4.0
Coursera,Introduction to Data Science in Python,All Levels,9.99,English,4.0
Coursera,Customer Analytics,All Levels,9.99,English,5.0
Coursera,Introduction to Psychology,All Levels,39.99,English,5.0
Coursera,English for Career Development,Intermediate,0.0,English,5.0
Coursera,Global Diplomacy – Diplomacy in the Modern World,Intermediate,0.0,English,4.0
Coursera,SQL for Data Science,Beginner,39.99,English,4.0
Coursera,Write Professional Emails in English,Intermediate,39.99,English,5.0
Coursera,Medical Neuroscience,Advanced,0.0,English,5.0
Coursera,System Administration and IT Infrastructure Services,Advanced,0.0,English,5.0
Coursera,International Women's Health and Human Rights,All Levels,39.99,English,5.0
Coursera,Child Nutrition and Cooking,Beginner,39.99,English,5.0
Coursera,Understanding the Brain: The Neurobiology of Everyday Life,Beginner,0.0,English,5.0
Coursera,Introduction to Social Media Marketing,All Levels,9.99,English,4.0
Coursera,Forensic Accounting and Fraud Examination,All Levels,39.99,English,4.0
Coursera,Clinical Terminology for International and U.S. Students,All Levels,9.99,English,5.0
Coursera,Science of Exercise,Advanced,49.0,English,5.0
Coursera,Digital Product Management: Modern Fundamentals,All Levels,39.99,English,5.0
Coursera,Data Science Math Skills,All Levels,0.0,English,4.0
Coursera,Structuring Machine Learning Projects,Advanced,0.0,English,5.0
Coursera,An Introduction to American Law,All Levels,39.99,English,5.0
Coursera,The Strategy of Content Marketing,All Levels,39.99,English,4.0
Coursera,Introduction to Cybersecurity Tools & Cyber Attacks,Beginner,9.99,English,4.0
Coursera,The Data Scientist’s Toolbox,Intermediate,9.99,English,4.0
Coursera,Animal Behaviour and Welfare,All Levels,0.0,English,5.0
Coursera,Convolutional Neural Networks in TensorFlow,Intermediate,0.0,English,5.0
Coursera,Positive Psychology: Martin E. P. Seligman’s Visionary Science,Advanced,39.99,English,3.0
Coursera,Introduction to the Biology of Cancer,Advanced,0.0,English,5.0
Coursera,Convolutional Neural Networks,Intermediate,9.99,English,3.0
Coursera,Using Python to Access Web Data,Intermediate,59.0,English,5.0
Coursera,Introductory Human Physiology,Intermediate,0.0,English,5.0
Coursera,Introduction to Systematic Review and Meta-Analysis,Intermediate,39.99,English,4.0
Coursera,Communication Strategies for a Virtual Age,Advanced,39.99,English,4.0
Coursera,Moral Foundations of Politics,Advanced,0.0,English,5.0
Coursera,Étudier en France: French Intermediate course B1-B2,Beginner,49.0,French,5.0
Coursera,Managing the Company of the Future,Beginner,0.0,English,5.0
Coursera,Site Reliability Engineering: Measuring and Managing Reliability,Beginner,49.0,English,3.0
Coursera,Autism Spectrum Disorder,Intermediate,39.99,English,4.0
Coursera,Data Science Methodology,Intermediate,9.99,English,5.0
Coursera,Introduction to Financial Accounting,Advanced,0.0,English,5.0
Coursera,Marketing in a Digital World,Intermediate,39.99,English,5.0
Coursera,Wind Energy,Advanced,0.0,English,5.0
Coursera,Principles of Sustainable Finance,Beginner,0.0,English,4.0
Coursera,Financial Engineering and Risk Management Part I,All Levels,39.99,English,2.0
Coursera,Introduction to Philosophy,Beginner,9.99,English,5.0
Coursera,Business Metrics for Data-Driven Companies,Beginner,9.99,English,3.0
Coursera,Python Basics,Beginner,9.99,English,2.0
Coursera,Introduction to Sustainability,All Levels,0.0,English,5.0
Coursera,Positive Psychiatry and Mental Health,Intermediate,0.0,English,4.0
Coursera,Cryptography I,Beginner,0.0,English,5.0
Coursera,Learning to Teach Online,Advanced,9.99,English,5.0
Coursera,IT Security: Defense against the digital dark arts,All Levels,0.0,English,5.0
Coursera,An Introduction to Consumer Neuroscience & Neuromarketing,Intermediate,9.99,English,4.0
Coursera,Gamification,All Levels,9.99,English,4.0
Coursera,Contabilidad para no contadores,Beginner,9.99,Spanish,5.0
Coursera,Using Python to Interact with the Operating System,Advanced,39.99,English,4.0
Coursera,Object-Oriented Data Structures in C++,Intermediate,49.0,English,4.0
Coursera,Google Cloud Platform Big Data and Machine Learning Fundamentals,Beginner,0.0,English,4.0
Coursera,Databases and SQL for Data Science,All Levels,0.0,English,4.0
Coursera,Natural Language Processing in TensorFlow,Beginner,49.0,English,5.0
Coursera,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Intermediate,39.99,English,4.0
Coursera,Vital Signs: Understanding What the Body Is Telling Us,Beginner,9.99,English,5.0
Coursera,Understanding Research Methods,Beginner,0.0,English,5.0
Coursera,IBM Customer Engagement Specialist Professional Certificate,Intermediate,0.0,English,2.0
Coursera,Introduction to Calculus,Beginner,0.0,English,5.0
Coursera,Camino a la Excelencia en Gestión de Proyectos,Intermediate,0.0,Spanish,5.0
Coursera,Introduction to HTML5,Beginner,0.0,English,3.0
Coursera,Wine Tasting: Sensory Techniques for Wine Analysis,Beginner,0.0,English,5.0
Coursera,Excel Skills for Business: Intermediate I,All Levels,0.0,English,4.0
Coursera,"Programming Foundations with JavaScript, HTML and CSS",All Levels,9.99,English,4.0
Coursera,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),All Levels,0.0,English,4.0
Coursera,Food & Beverage Management,All Levels,9.99,English,5.0
Coursera,Data Analysis with Python,Beginner,9.99,English,4.0
Coursera,Agile Meets Design Thinking,Beginner,49.0,English,4.0
Coursera,AWS Fundamentals: Going Cloud-Native,Beginner,9.99,English,4.0
Coursera,Construction Project Management,Beginner,49.0,English,2.0
Coursera,Introduction to Mathematical Thinking,Advanced,9.99,English,1.0
Coursera,Everyday Parenting: The ABCs of Child Rearing,Beginner,0.0,English,5.0
Coursera,Introduction to Healthcare,Beginner,9.99,English,4.0
Coursera,Machine Learning with Python,Intermediate,49.0,English,4.0
Coursera,Terrorism and Counterterrorism: Comparing Theory and Practice,Advanced,9.99,English,5.0
Coursera,Data Management for Clinical Research,Intermediate,0.0,English,2.0
Coursera,Foundations of Data Science: K-Means Clustering in Python,Beginner,39.99,English,3.0
Coursera,Instructional Design Foundations and Applications,Beginner,9.99,English,4.0
Coursera,Cursos en línea: modelo para armar,Intermediate,0.0,Spanish,4.0
Coursera,Modern Art & Ideas,Advanced,0.0,English,5.0
Coursera,"Speak English Professionally: In Person, Online & On the Phone",Beginner,49.0,English,4.0
Coursera,Essential Google Cloud Infrastructure: Foundation,Intermediate,0.0,English,4.0
Coursera,Introduction to Artificial Intelligence (AI),All Levels,0.0,English,4.0
Coursera,Dog Emotion and Cognition,Intermediate,0.0,English,5.0
Coursera,International Leadership and Organizational Behavior,Intermediate,0.0,English,5.0
Coursera,Driving business towards the Sustainable Development Goals,All Levels,0.0,English,5.0
Coursera,"The Sustainable Development Goals – A global, transdisciplinary vision for the future",All Levels,9.99,English,5.0
Coursera,Digital Transformation,Beginner,9.99,English,5.0
Coursera,Sequence Models,Intermediate,49.0,Spanish,4.0
Coursera,Devenir entrepreneur du changement,Advanced,9.99,French,2.0
Coursera,Seeing Through Photographs,All Levels,39.99,English,5.0
