Plataform,course_id,Institution,Title,Level,Price,Language,Rating
Coursera,machine-learning,Stanford University,Machine Learning,Unknown,0,English,4.56
Coursera,indigenous-canada,University of Alberta,Indigenous Canada,Unknown,0,English,4.83
Coursera,the-science-of-well-being,Yale University,The Science of Well-Being,Unknown,0,English,4.94
Coursera,technical-support-fundamentals,Google,Technical Support Fundamentals,Unknown,0,English,4.4
Coursera,google-cbrs-cpi-training,Google - Spectrum Sharing,Become a CBRS Certified Professional Installer by Google,Unknown,0,English,4.0
Coursera,financial-markets-global,Yale University,Financial Markets,Unknown,0,English,4.23
Coursera,introduction-psychology,Yale University,Introduction to Psychology,Unknown,0,English,4.79
Coursera,python,University of Michigan,Programming for Everybody (Getting Started with Python),Unknown,0,English,4.89
Coursera,computer-networking,Google,The Bits and Bytes of Computer Networking,Unknown,0,English,4.13
Coursera,ai-for-everyone,DeepLearning.AI,AI For Everyone,Unknown,0,English,4.91
Coursera,python-crash-course,Google,Crash Course on Python,Unknown,0,English,4.43
Coursera,psychological-first-aid,Johns Hopkins University,Psychological First Aid,Unknown,0,English,4.69
Coursera,neural-networks-deep-learning,DeepLearning.AI,Neural Networks and Deep Learning,Unknown,0,English,4.64
Coursera,what-is-datascience,IBM,What is Data Science?,Unknown,0,English,4.43
Coursera,negotiation-skills,University of Michigan,Successful Negotiation: Essential Strategies and Skills,Unknown,0,English,4.84
Coursera,uva-darden-project-management,University of Virginia,Fundamentals of Project Planning and Management,Unknown,0,English,4.59
Coursera,project-management,"University of California, Irvine",Project Launch,Unknown,0,English,3.0
Coursera,brand,London Business School,"Brand Management: Aligning Business, Brand and Behaviour",Unknown,0,English,4.88
Coursera,sciwrite,Stanford University,Writing in the Sciences,Unknown,0,English,4.88
Coursera,food-and-health,Stanford University,Stanford Introduction to Food and Health,Unknown,0,English,4.59
Coursera,html-css-javascript-for-web-developers,Johns Hopkins University,"HTML, CSS, and Javascript for Web Developers",Unknown,0,English,4.78
Coursera,excel-essentials,Macquarie University,Excel Skills for Business: Essentials,Unknown,0,English,4.72
Coursera,negotiation,Yale University,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Unknown,0,English,4.52
Coursera,everyday-excel-part-1,University of Colorado Boulder,"Everyday Excel, Part 1",Unknown,0,English,1.5
Coursera,learning-how-to-learn,University of California San Diego,Learning How to Learn: Powerful mental tools to help you master tough subjects,Unknown,0,English,4.79
Coursera,gcp-fundamentals,Google Cloud,Google Cloud Platform Fundamentals: Core Infrastructure,Unknown,0,English,3.66
Coursera,wharton-contagious-viral-marketing,University of Pennsylvania,Viral Marketing and How to Craft Contagious Content,Unknown,0,English,4.7
Coursera,python-data,University of Michigan,Python Data Structures,Unknown,0,English,5.0
Coursera,private-equity,Università Bocconi,Private Equity and Venture Capital,Unknown,0,English,4.77
Coursera,learn-korean,Yonsei University,First Step Korean,Unknown,0,English,4.87
Coursera,introduction-tensorflow,DeepLearning.AI,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",Unknown,0,English,4.51
Coursera,os-power-user,Google,Operating Systems and You: Becoming a Power User,Unknown,0,English,4.28
Coursera,open-source-tools-for-data-science,IBM,Tools for Data Science,Unknown,0,English,3.4
Coursera,deep-neural-network,DeepLearning.AI,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",Unknown,0,English,4.39
Coursera,diversity-inclusion-workplace,ESSEC Business School,Diversity and inclusion in the workplace,Unknown,0,English,4.49
Coursera,clinical-trials,Johns Hopkins University,Design and Interpretation of Clinical Trials,Unknown,0,English,5.0
Coursera,visual-elements-user-interface-design,California Institute of the Arts,Visual Elements of User Interface Design,Unknown,0,English,4.67
Coursera,mafash,Università Bocconi,Management of Fashion and Luxury Companies,Unknown,0,English,4.74
Coursera,pap,Universitat Autònoma de Barcelona,Primeros Auxilios Psicológicos (PAP),Unknown,0,Spanish,4.93
Coursera,social-psychology,Wesleyan University,Social Psychology,Unknown,0,English,4.5
Coursera,project-planning,"University of California, Irvine",Initiating and Planning Projects,Unknown,0,English,4.67
Coursera,computational-thinking-problem-solving,University of Pennsylvania,Computational Thinking for Problem Solving,Unknown,0,English,4.29
Coursera,agile-atlassian-jira,Atlassian,Agile with Atlassian Jira,Unknown,0,English,4.64
Coursera,fundamentals-of-graphic-design,California Institute of the Arts,Fundamentals of Graphic Design,Unknown,0,English,4.61
Coursera,user-experience-design,Georgia Institute of Technology,Introduction to User Experience Design,Unknown,0,English,4.52
Coursera,wharton-marketing,University of Pennsylvania,Introduction to Marketing,Unknown,0,English,4.94
Coursera,python-for-applied-data-science-ai,IBM,Python for Data Science and AI,Unknown,0,English,4.01
Coursera,uva-darden-market-analytics,University of Virginia,Marketing Analytics,Unknown,0,English,4.8
Coursera,classification-vector-spaces-in-nlp,DeepLearning.AI,Natural Language Processing with Classification and Vector Spaces,Unknown,0,English,4.73
Coursera,wharton-quantitative-modeling,University of Pennsylvania,Fundamentals of Quantitative Modeling,Unknown,0,English,4.08
Coursera,linear-algebra-machine-learning,Imperial College London,Mathematics for Machine Learning: Linear Algebra,Unknown,0,English,4.0
Coursera,python-data-analysis,University of Michigan,Introduction to Data Science in Python,Unknown,0,English,3.8
Coursera,wharton-customer-analytics,University of Pennsylvania,Customer Analytics,Unknown,0,English,4.6
