Plataform,Institution,Title,Level,Price,Language,Rating,n_Students,Type,Subject,Certificate
EDX,edX,How to Learn Online,Introductory,0,English,0.0,124980,Self-paced on your time,Education & Teacher Training,49
EDX,The University of Michigan,Programming for Everybody (Getting Started with Python),Introductory,0,English,0.0,293864,Self-paced on your time,Computer Science,49
EDX,Harvard University,CS50's Introduction to Computer Science,Introductory,0,English,0.0,2442271,Self-paced on your time,Computer Science,90
EDX,Massachusetts Institute of Technology,The Analytics Edge,Intermediate,0,English,0.0,129555,Instructor-led on a course schedule,Data Analysis & Statistics,199
EDX,"University of California, Berkeley",Marketing Analytics: Marketing Measurement Strategy,Introductory,0,English,0.0,81140,Self-paced on your time,Computer Science,249
EDX,University of Adelaide,Introduction to Project Management,Introductory,0,English,0.0,301793,Self-paced on your time,Business & Management,199
EDX,The University of Queensland,Leading High-Performing Teams,Intermediate,0,English,0.0,32847,Self-paced on your time,Communication,5
EDX,"University of California, Berkeley",The Foundations of Happiness at Work,Introductory,0,English,0.0,67073,Self-paced on your time,Business & Management,199
EDX,Curtin University,"Managing Study, Stress and Mental Health at University",Introductory,0,English,0.0,23061,Self-paced on your time,Health & Safety,49
EDX,Technische Universität München,Six Sigma: Define and Measure,Introductory,0,English,0.0,92411,Self-paced on your time,Business & Management,99
EDX,Harvard University,Fat Chance: Probability from the Ground Up,Introductory,0,English,0.0,66835,Self-paced on your time,Math,49
EDX,National Research Nuclear University,Chasing your Dream: How to End Procrastination and Get a Job You Love,Introductory,0,English,0.0,44711,Self-paced on your time,Communication,49
EDX,"University of California, Berkeley",Bitcoin and Cryptocurrencies,Introductory,0,English,0.0,83398,Self-paced on your time,Computer Science,99
EDX,The University of Queensland,English Grammar and Style,Introductory,0,English,0.0,0,Instructor-led on a course schedule,Humanities,99
EDX,SDG Academy,Ethics in Action,Intermediate,0,English,0.0,6366,Self-paced on your time,Ethics,49
EDX,University of Hong Kong,Introduction to FinTech,Introductory,0,English,0.0,72767,Self-paced on your time,Economics & Finance,199
EDX,Harvard University,Data Science: R Basics,Introductory,0,English,0.0,528782,Self-paced on your time,Data Analysis & Statistics,49
EDX,IBM,Python Basics for Data Science,Introductory,0,English,0.0,228809,Self-paced on your time,Data Analysis & Statistics,39
EDX,Wageningen University & Research,The Science of Beer,Introductory,0,English,0.0,39085,Self-paced on your time,Food & Nutrition,49
EDX,Boston University,Strategic Social Media Marketing,Advanced,0,English,0.0,103640,Instructor-led on a course schedule,Business & Management,399
EDX,Harvard University,CS50's Introduction to Artificial Intelligence with Python,Introductory,0,English,0.0,258006,Self-paced on your time,Computer Science,199
EDX,Harvard University,CS50's Introduction to Game Development,Intermediate,0,English,0.0,346748,Self-paced on your time,Computer Science,149
EDX,Harvard University,Rhetoric: The Art of Persuasive Writing and Public Speaking,Introductory,0,English,0.0,320225,Self-paced on your time,Humanities,99
EDX,Harvard University,CS50's Web Programming with Python and JavaScript,Intermediate,0,English,0.0,698950,Self-paced on your time,Computer Science,90
EDX,Harvard University,Contract Law: From Trust to Promise to Contract,Intermediate,0,English,0.0,414181,Self-paced on your time,Business & Management,125
EDX,Harvard University,"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",Introductory,0,English,0.0,380167,Self-paced on your time,Biology & Life Sciences,99
EDX,Harvard University,Justice,Introductory,0,English,0.0,392588,Self-paced on your time,Humanities,99
EDX,Harvard University,Data Science: Machine Learning,Introductory,0,English,0.0,276209,Self-paced on your time,Data Analysis & Statistics,49
EDX,Harvard University,Child Protection: Children's Rights in Theory and Practice,Introductory,0,English,0.0,212453,Self-paced on your time,Social Sciences,99
EDX,The University of Queensland,IELTS Academic Test Preparation,Introductory,0,English,0.0,1103777,Self-paced on your time,Communication,99
EDX,Harvard University,The Architectural Imagination,Introductory,0,English,0.0,406181,Self-paced on your time,Architecture,99
EDX,Educational Testing Service,TOEFL® Test Preparation: The Insider’s Guide,Introductory,0,English,0.0,1022489,Self-paced on your time,Communication,49
EDX,Harvard University,Principles of Biochemistry,Intermediate,0,English,0.0,257600,Self-paced on your time,Medicine,199
EDX,Harvard University,Using Python for Research,Intermediate,0,English,0.0,262183,Self-paced on your time,Computer Science,99
EDX,Harvard University,Hinduism Through Its Scriptures,Introductory,0,English,0.0,140782,Self-paced on your time,Humanities,99
EDX,Universitat Politècnica de Valencia,Basic Spanish 1: Getting Started,Introductory,0,English,0.0,400169,Self-paced on your time,Communication,40
EDX,Harvard University,The Health Effects of Climate Change,Introductory,0,English,0.0,110024,Self-paced on your time,Environmental Studies,99
EDX,Universidades Anáhuac,Inglés básico: conversacional y networking,Introductory,0,Español,0.0,79671,Self-paced on your time,Business & Management,49
EDX,Harvard University,Statistics and R,Intermediate,0,English,0.0,314586,Self-paced on your time,Data Analysis & Statistics,249
EDX,Harvard University,Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),Introductory,0,English,0.0,145011,Self-paced on your time,Chemistry,199
EDX,Harvard University,Pyramids of Giza: Ancient Egyptian Art and Archaeology,Introductory,0,English,0.0,123870,Self-paced on your time,Art & Culture,99
