Platform,Institution,Title,Level,Price,Language,Rating,n_Students,Type,Subject
edX,edX,How to Learn Online,Beginner,49.0,English,4,124980,Self-paced on your time,Education & Teacher Training
edX,The University of Michigan,Programming for Everybody (Getting Started with Python),Beginner,49.0,English,5,293864,Self-paced on your time,Computer Science
edX,Harvard University,CS50's Introduction to Computer Science,Beginner,90.0,English,4,2442271,Self-paced on your time,Computer Science
edX,Massachusetts Institute of Technology,The Analytics Edge,Intermediate,199.0,English,4,129555,Instructor-led on a course schedule,Data Analysis & Statistics
edX,"University of California, Berkeley",Marketing Analytics: Marketing Measurement Strategy,Beginner,249.0,English,3,81140,Self-paced on your time,Computer Science
edX,University of Adelaide,Introduction to Project Management,Beginner,199.0,English,4,301793,Self-paced on your time,Business & Management
edX,The University of Queensland,Leading High-Performing Teams,Intermediate,5.0,English,5,32847,Self-paced on your time,Communication
edX,"University of California, Berkeley",The Foundations of Happiness at Work,Beginner,199.0,English,4,67073,Self-paced on your time,Business & Management
edX,Curtin University,"Managing Study, Stress and Mental Health at University",Beginner,49.0,English,5,23061,Self-paced on your time,Health & Safety
edX,Technische Universität München,Six Sigma: Define and Measure,Beginner,99.0,English,3,92411,Self-paced on your time,Business & Management
edX,Harvard University,Fat Chance: Probability from the Ground Up,Beginner,49.0,English,4,66835,Self-paced on your time,Math
edX,National Research Nuclear University,Chasing your Dream: How to End Procrastination and Get a Job You Love,Beginner,49.0,English,1,44711,Self-paced on your time,Communication
edX,"University of California, Berkeley",Bitcoin and Cryptocurrencies,Beginner,99.0,English,2,83398,Self-paced on your time,Computer Science
edX,The University of Queensland,English Grammar and Style,Beginner,99.0,English,3,0,Instructor-led on a course schedule,Humanities
edX,SDG Academy,Ethics in Action,Intermediate,49.0,English,1,6366,Self-paced on your time,Ethics
edX,University of Hong Kong,Introduction to FinTech,Beginner,199.0,English,2,72767,Self-paced on your time,Economics & Finance
edX,Harvard University,Data Science: R Basics,Beginner,49.0,English,5,528782,Self-paced on your time,Data Analysis & Statistics
edX,IBM,Python Basics for Data Science,Beginner,39.0,English,4,228809,Self-paced on your time,Data Analysis & Statistics
edX,Wageningen University & Research,The Science of Beer,Beginner,49.0,English,3,39085,Self-paced on your time,Food & Nutrition
edX,Boston University,Strategic Social Media Marketing,Advanced,399.0,English,5,103640,Instructor-led on a course schedule,Business & Management
edX,Harvard University,CS50's Introduction to Artificial Intelligence with Python,Beginner,199.0,English,4,258006,Self-paced on your time,Computer Science
edX,Harvard University,CS50's Introduction to Game Development,Intermediate,149.0,English,2,346748,Self-paced on your time,Computer Science
edX,Harvard University,Rhetoric: The Art of Persuasive Writing and Public Speaking,Beginner,99.0,English,5,320225,Self-paced on your time,Humanities
edX,Harvard University,CS50's Web Programming with Python and JavaScript,Intermediate,90.0,English,5,698950,Self-paced on your time,Computer Science
edX,Harvard University,Contract Law: From Trust to Promise to Contract,Intermediate,125.0,English,4,414181,Self-paced on your time,Business & Management
edX,Harvard University,"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",Beginner,99.0,English,1,380167,Self-paced on your time,Biology & Life Sciences
edX,Harvard University,Justice,Beginner,99.0,English,4,392588,Self-paced on your time,Humanities
edX,Harvard University,Data Science: Machine Learning,Beginner,49.0,English,5,276209,Self-paced on your time,Data Analysis & Statistics
edX,Harvard University,Child Protection: Children's Rights in Theory and Practice,Beginner,99.0,English,4,212453,Self-paced on your time,Social Sciences
edX,The University of Queensland,IELTS Academic Test Preparation,Beginner,99.0,English,2,1103777,Self-paced on your time,Communication
edX,Harvard University,The Architectural Imagination,Beginner,99.0,English,5,406181,Self-paced on your time,Architecture
