Plataform,Title,Level,Price,Language,Rating,is_paid,n_Students,num_reviews,num_lectures,Subject,Ventas
Udemy,Ultimate Investment Banking Course,All Levels,200,English,0.0,True,2147,23,51,Business Finance,429400
Udemy,Complete GST Course & Certification - Grow Your CA Practice,All Levels,75,English,0.0,True,2792,923,274,Business Finance,209400
Udemy,Financial Modeling for Business Analysts and Consultants,Intermediate Level,45,English,0.0,True,2174,74,51,Business Finance,97830
Udemy,Beginner to Pro - Financial Analysis in Excel 2017,All Levels,95,English,0.0,True,2451,11,36,Business Finance,232845
Udemy,How To Maximize Your Profits Trading Options,Intermediate Level,200,English,0.0,True,1276,45,26,Business Finance,255200
Udemy,Trading Penny Stocks: A Guide for All Levels In 2017,All Levels,150,English,0.0,True,9221,138,25,Business Finance,1383150
Udemy,Investing And Trading For Beginners: Mastering Price Charts,Beginner Level,65,English,0.0,True,1540,178,26,Business Finance,100100
Udemy,"Trading Stock Chart Patterns For Immediate, Explosive Gains",All Levels,95,English,0.0,True,2917,148,23,Business Finance,277115
Udemy,Options Trading 3 : Advanced Stock Profit and Success Method,Expert Level,195,English,0.0,True,5172,34,38,Business Finance,1008540
Udemy,The Only Investment Strategy You Need For Your Retirement,All Levels,200,English,0.0,True,827,14,15,Business Finance,165400
Udemy,Forex Trading Secrets of the Pros With Amazon's AWS,All Levels,200,English,0.0,True,4284,93,76,Business Finance,856800
Udemy,Trading Options With Money Flow,All Levels,200,English,0.0,True,1380,42,17,Business Finance,276000
Udemy,Financial Management Risk and Return For Securities,All Levels,30,English,0.0,True,3607,21,19,Business Finance,108210
Udemy,Forex Trading Course: Work Smarter Not Harder Proven Results,All Levels,195,English,0.0,True,4061,52,16,Business Finance,791895
Udemy,Python Algo Trading: Sentiment Trading with News,All Levels,200,English,0.0,True,294,19,42,Business Finance,58800
Udemy,Short Selling: Learn To Sell Stocks Before The Fall,Intermediate Level,75,English,0.0,True,2276,106,19,Business Finance,170700
Udemy,Basic Technical Analysis: Learn the structure of the market,Beginner Level,20,English,0.0,True,4919,79,16,Business Finance,98380
Udemy,The Complete Chart Pattern Trading Course: A Proven Approach,All Levels,200,English,0.0,True,2666,115,52,Business Finance,533200
Udemy,7 Deadly Mistakes of Investing that Will Slash Your Profits!,All Levels,50,English,0.0,True,5354,24,23,Business Finance,267700
Udemy,Financial Statements Made Easy,Beginner Level,95,English,0.0,True,8095,249,12,Business Finance,769025
Udemy,Winning Forex Trading with Live Forex Trading Examples,All Levels,200,English,0.0,True,809,3,25,Business Finance,161800
Udemy,Forex Traders - Create Your First Trading Robot. No Coding!,All Levels,200,English,0.0,True,2295,84,39,Business Finance,459000
Udemy,Create A Business From Home Trading Stocks Today In 2017,All Levels,75,English,0.0,True,10149,83,16,Business Finance,761175
Udemy,Introduction to Accounting : Mastering Financial Statements,Beginner Level,50,English,0.0,True,1916,38,23,Business Finance,95800
Udemy,The Complete Ethereum Course: Get .01 Ether In Your Wallet,All Levels,45,English,0.0,True,2507,333,40,Business Finance,112815
Udemy,Beginner to Pro in PowerPoint: Complete PowerPoint Training,All Levels,150,English,0.0,True,5786,518,50,Business Finance,867900
Udemy,Investing 101: The Complete Online Investing Course,All Levels,200,English,0.0,True,5334,373,42,Business Finance,1066800
Udemy,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,Intermediate Level,175,English,0.0,True,4005,237,25,Business Finance,700875
Udemy,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),All Levels,150,English,0.0,True,2877,103,81,Business Finance,431550
Udemy,Forex Trading: Your Complete Guide to Get Started Like a Pro,Beginner Level,140,English,0.0,True,1026,25,37,Business Finance,143640
Udemy,Python Algo Stock Trading: Automate Your Trading!,Beginner Level,95,English,0.0,True,1165,21,41,Business Finance,110675
Udemy,THE Forex Robot: Incredible ROI (Robot Included),All Levels,200,English,0.0,True,1843,171,35,Business Finance,368600
Udemy,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,All Levels,45,English,0.0,True,8797,449,80,Business Finance,395865
Udemy,Mastering High Probability Iron Condor Options Trading,All Levels,200,English,0.0,True,1030,11,22,Business Finance,206000
Udemy,The Complete Short Course on Ethereum,All Levels,200,English,0.0,True,1041,12,28,Business Finance,208200
Udemy,Options Trading Stocks: Proven Toolbox For Financial Success,Intermediate Level,195,English,0.0,True,7884,118,68,Business Finance,1537380
Udemy,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,Beginner Level,195,English,0.0,True,16900,2476,52,Business Finance,3295500
Udemy,"Introduction to Finance, Accounting, Modeling and Valuation",All Levels,200,English,0.0,True,11441,1118,61,Business Finance,2288200
Udemy,Beginner to Pro in Excel: Financial Modeling and Valuation,All Levels,195,English,0.0,True,22257,2697,138,Business Finance,4340115
Udemy,The Complete Investment Banking Course 2017,All Levels,195,English,0.0,True,8575,809,110,Business Finance,1672125
Udemy,The Complete Financial Analyst Course 2017,All Levels,195,English,0.0,True,24481,2347,174,Business Finance,4773795
Udemy,Python for Finance: Investment Fundamentals & Data Analytics,All Levels,195,English,0.0,True,3811,278,103,Business Finance,743145
Udemy,Financial Modeling for Startups & Small Businesses,Beginner Level,195,English,0.0,True,4991,137,79,Business Finance,973245
Udemy,Options Trading - How to Win with Weekly Options,Intermediate Level,115,English,0.0,True,7489,1190,25,Business Finance,861235
Udemy,Black Algo Trading: Build Your Trading Robot,All Levels,200,English,0.0,True,20195,1113,227,Business Finance,4039000
Udemy,Accounting & Financial Statement Analysis: Complete Training,All Levels,150,English,0.0,True,10042,594,43,Business Finance,1506300
Udemy,Cryptocurrency Trading: Complete Guide To Trading Altcoins,All Levels,95,English,0.0,True,367,42,35,Business Finance,34865
Udemy,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,All Levels,200,English,0.0,True,10603,872,42,Business Finance,2120600
Udemy,Three Steps Trading - Live Trading - Real Account,All Levels,190,English,0.0,True,1197,11,46,Business Finance,227430
Udemy,Option Trading for Rookies:  Understand Options Completely,All Levels,150,English,0.0,True,2893,65,62,Business Finance,433950
Udemy,How I Learned Stock Trading (and How You Can Too),Expert Level,200,English,0.0,True,1580,12,53,Business Finance,316000
Udemy,Learn to Trade for Profit: Find and Trade Winning Stocks,All Levels,95,English,0.0,True,10605,71,77,Business Finance,1007475
Udemy,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,Intermediate Level,125,English,0.0,True,2996,200,23,Business Finance,374500
Udemy,Four Fundamentals of Financial Planning,All Levels,30,English,0.0,True,6219,23,20,Business Finance,186570
Udemy,Options Trading - Calendar Spread Course for Every Trader,All Levels,200,English,0.0,True,1113,11,17,Business Finance,222600
Udemy,Dividend Investing: Build Your Portfolio for a Better Future,Beginner Level,60,English,0.0,True,8314,83,47,Business Finance,498840
Udemy,Learn Accounting. Understand Business.,Beginner Level,200,English,0.0,True,5572,123,33,Business Finance,1114400
Udemy,How to Consistently Win Trading Stocks in 30 Days or Less,Intermediate Level,145,English,0.0,True,1433,169,15,Business Finance,207785
Udemy,A Beginner's Guide to Quantopian Futures API,Intermediate Level,20,English,0.0,True,936,6,11,Business Finance,18720
Udemy,How to Buy Cheap Options - Options Trading Pricing Model,All Levels,200,English,0.0,True,658,2,19,Business Finance,131600
Udemy,Excel Crash Course: Master Excel for Financial Analysis,All Levels,105,English,0.0,True,8121,689,40,Business Finance,852705
Udemy,"Comprehensive Guide to Financial Markets, Investing &Trading",Beginner Level,60,English,0.0,True,4187,600,79,Business Finance,251220
Udemy,Stock Trading Ninja: Complete System For Trading Success,All Levels,155,English,0.0,True,9445,497,38,Business Finance,1463975
Udemy,Hedge and Mutual Fund Careers: The Complete Guide,All Levels,200,English,0.0,True,3255,340,102,Business Finance,651000
Udemy,Algorithmic Trading In Forex: Create Your First Forex Robot!,All Levels,185,English,0.0,True,7941,713,40,Business Finance,1469085
Udemy,The Power Modeling Bootcamp: Advanced Excel in 10 Days,All Levels,150,English,0.0,True,1680,158,76,Business Finance,252000
Udemy,Options Trading Basics (3-Course Bundle),Beginner Level,180,English,0.0,True,10100,985,45,Business Finance,1818000
Udemy,How to Win 97% of Your Options Trades,All Levels,125,English,0.0,True,5050,461,26,Business Finance,631250
Udemy,How I Make Consistent Returns Trading Options,All Levels,200,English,0.0,True,2310,162,26,Business Finance,462000
Udemy,"Forex Strategies: Kelly Criterion, Larry Williams and more!",All Levels,185,English,0.0,True,5528,506,32,Business Finance,1022680
Udemy,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",All Levels,125,English,0.0,True,6451,237,28,Business Finance,806375
Udemy,Options Trading Introduction: Day Trade Stock Options,Beginner Level,95,English,0.0,True,12394,218,30,Business Finance,1177430
Udemy,The Almost Perfect Options Trading Strategy System - Unique,All Levels,200,English,0.0,True,1793,18,15,Business Finance,358600
Udemy,Forex Trading -  Learn to Trade Forex Like the Banks,All Levels,20,English,0.0,True,3223,240,23,Business Finance,64460
Udemy,Learn to Trade for Profit:Trading with Japanese Candlesticks,Beginner Level,60,English,0.0,True,16385,273,45,Business Finance,983100
Udemy,The Most Powerful Options Spread Trading Front Ratio Spread,All Levels,200,English,0.0,True,1487,16,18,Business Finance,297400
Udemy,What Finance Job is for You? Explanation of 14 Finance Roles,All Levels,200,English,0.0,True,2951,232,60,Business Finance,590200
Udemy,The Blueprint for Successful Stock Trading,All Levels,120,English,0.0,True,2697,331,15,Business Finance,323640
Udemy,Trading for Beginners - Intermediate Level,Beginner Level,150,English,0.0,True,3979,40,39,Business Finance,596850
Udemy,Start Trading Stocks Using Technical Analysis!,All Levels,25,English,0.0,True,3190,244,45,Business Finance,79750
Udemy,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,Expert Level,200,English,0.0,True,1406,71,54,Business Finance,281200
Udemy,VPS for Forex Trading - Protect Your Forex Robots,All Levels,160,English,0.0,True,4252,225,24,Business Finance,680320
Udemy,Introduction to Accounting: The Language of Business,Beginner Level,20,English,0.0,True,11958,370,134,Business Finance,239160
Udemy,Basic Excel for Basic Bookkeeping and Accounting,Beginner Level,95,English,0.0,True,7743,340,33,Business Finance,735585
Udemy,"Using 'The Greeks To Understand Options""",All Levels,50,English,0.0,True,2134,55,5,Business Finance,106700
Udemy,Trading Options For Consistent Returns: Calendar Spreads,All Levels,200,English,0.0,True,1214,69,20,Business Finance,242800
